touch_number,exchange_number,priority_attacker,lamp,confidence,note
1,4,,single_right,0.436,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
2,,right,double,0.328,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
3,9,,single_right,0.432,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
4,17,,single_left,0.508,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
5,19,,single_right,0.372,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
6,21,,single_left,0.512,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
7,25,,single_left,0.524,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
8,32,,single_left,0.500,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
9,,,,0.000,검토 필요: 램프 미판독 — 해당 구간에서 유효 램프 이벤트를 찾지 못함. 사람이 영상으로 확인
10,,,single_left,0.206,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
11,40,left,double,0.332,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
12,45,,single_right,0.392,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
13,47,left,double,0.372,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
14,,,,0.000,검토 필요: 램프 미판독 — 해당 구간에서 유효 램프 이벤트를 찾지 못함. 사람이 영상으로 확인
15,,right,double,0.364,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
16,,,,0.000,검토 필요: 램프 미판독 — 해당 구간에서 유효 램프 이벤트를 찾지 못함. 사람이 영상으로 확인
17,,,single_left,0.516,검토 필요: 단독 램프(single_left)가 득점자(right)와 모순 — 램프 판독과 점수 OCR 중 하나가 오독. 사람이 영상으로 확인
18,65,,single_left,0.524,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
19,68,,single_left,0.512,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
20,,,single_right,0.408,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
21,71,,single_right,0.356,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
22,,right,double,0.336,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
23,74,left,double,0.404,"자동 입력: 양측 램프(double) — 두 유효타가 모두 성립해 심판이 우선권을 판정했고, 그 결과가 득점이므로 득점자를 우선권자로 자동 기록"
24,78,,single_right,0.360,검토 필요: 단독 램프(single_right) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
25,,,,0.000,검토 필요: 램프 미판독 — 해당 구간에서 유효 램프 이벤트를 찾지 못함. 사람이 영상으로 확인
26,,,,0.000,검토 필요: 램프 미판독 — 해당 구간에서 유효 램프 이벤트를 찾지 못함. 사람이 영상으로 확인
27,,,single_left,0.476,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
28,91,,single_left,0.480,검토 필요: 단독 램프(single_left) — 유효타가 한쪽만 성립해 우선권 판정 자체가 없었음. 우선권 정답이 존재하지 않으므로 사람이 프레이즈를 보고 판단
